id,degree,in_degree,out_degree,pagerank,community
0xebc4f9b1ce66258ac3a48578ffeeba1330ddb68b,98,59,39,0.00014626977370446397,1
0xff5713fdbad797b81539b5f9766859d4e050a6cc,43,21,22,4.405439863157911e-05,7
0x0000000002f4dd78ba85fe4b662983816c9ae95f,110,28,82,0.001160993009378351,6
0x00000000063e0e1e06a0fe61e16be8bdec1bea31,38,15,23,0.00044860934012479247,6
0x019c29d5c97f8cbaa67013e2cf4b6506a5cf183a,185,93,92,0.0012740565713556414,6
0x055acb1b90797996b4fa1f7605e74b84887e3821,1,1,0,2.0280509371571847e-05,6
0x0d1ce32357bb10ab80e5651417a16b2ce470ebd8,1,1,0,2.0280465691569124e-05,6
0x110c4e36fac19701000b747b340cbf2a2df89ed1,5,5,0,2.0291126082556206e-05,7
0x14cb4962477759059c08ac2b0ddea8f257dee610,1,1,0,2.02804598322494e-05,6
0x1ae3e6f4a7218e278b924772c6df88367fc23de1,5,4,1,2.0403484474272146e-05,17
0x1ce8e1ddb5336b9d83fac7feaa6083f81e6e5421,1,1,0,2.0280504783996133e-05,6
0x20219991677402986c1bd942b23e7884e2c8b191,1,1,0,2.0280460061536585e-05,6
0x203d26de04763cdebd21bf862338c45ad0ed8b8e,1,1,0,2.0280459883584294e-05,6
0x25262a039623fbced2a91d74d5ba578aebb971a1,1,1,0,2.0280459852732498e-05,6
0x2aceda63b5e958c45bd27d916ba701bc1dc08f7a,236,106,130,0.002916963212632789,3
0x2bfa928b742aee2b598e2b7554f92b6146c09f7d,1,1,0,2.028045980167244e-05,6
0x2e289bc52eebf12954250371b734f4bafdc187e8,1,1,0,2.028045982970496e-05,6
0x305d44a73ecbea384eaf46576c899108abf1e734,2,2,0,2.0286216641658357e-05,7
0x30629466abb6db1b3df49c461ee2a1caf9bd325b,2,2,0,2.028063809921949e-05,7
0x357faf5843c7fd7fb4e34fbeabdac16eabe8a5bc,120,63,57,0.00026702033303287133,0
0x3d85e9eca90a990fb972b9ab5954c4efa1322732,1,1,0,2.028045980167244e-05,6
0x3dcbb0f38c37839fc6e7e38238faa5b12c09f4db,1,1,0,2.028045980167244e-05,6
0x3de243ad8d6661f04f74e515ea8696b6f5c328a2,2,2,0,2.031985327443356e-05,7
0x40725d97f5352dfbf749de29ed328ac6189e51a9,1,1,0,2.0281619210241968e-05,6
0x450217886feb0bdd85a637b5977c443fbe44cfe4,3,2,1,2.029348122049364e-05,6
0x477a14dc3a5d5bca676e834f7860273516240544,1,1,0,2.0280530964895724e-05,6
0x4ccd010148379ea531d6c587cfdd60180196f9b1,459,185,274,0.0028710816125126224,7
0x4d4d0e706f1925be6e86eeec5fd7f324a114bb10,1,1,0,2.028045980167244e-05,6
0x5106761a6df7db5a628fa9e9fb3abd2352e27def,1,1,0,2.028046952265991e-05,6
0x5181981ed4cd70481fa3d69b50563eea8e0f34dd,1,1,0,2.0280511627595652e-05,6
0x5cd1dba8035c0701fa53a38569d85074383fccc2,3,2,1,2.050404093620462e-05,6
0x634616f46823782254c41adcaf4037a994479788,1,1,0,2.028079270310646e-05,6
0x6495c358841b2f623da4a0204ce9dfb6629dffd3,1,1,0,2.0280459802940584e-05,6
0x7c998970c7900e69bd4f86023d3408eb7f4bb623,1,1,0,2.028045980167244e-05,6
0x80dc99ed23aea7aeb7577e2991016cf03ec97310,4,2,2,2.1345438663304028e-05,12
0x8420a3f134669b29684caf73decd6cd2813c8461,2,1,1,2.028050132047362e-05,12
0x849ec65748107aedc518dbc42961f358ea1361a7,76,23,53,0.0001270269533001148,6
0x85b9e764089f4bea1a21c5c4bece8e96190b3c27,2,2,0,2.032843927864958e-05,0
0x88355ebc057fcda663d72ca2db8ed3d01bc08b80,4,3,1,2.4409202563948267e-05,6
0x919deafa354536b6dc1371509ef894f425ac8bac,1,1,0,2.028045980167244e-05,6
0x92f0c3f96c065150e2474edfb8bbe8dacb12df21,1,1,0,2.028045980167244e-05,6
0x957bc3c9a6e2822a9d9ccf9fe808301a8757b8cd,3,2,1,2.0452054879561145e-05,6
0x95d2483d2a0fff034004f91c53d649623d993896,219,80,139,0.0011271678344553792,6
0x984292bfd4efa8104de2c568f4a9842f2d887290,5,4,1,3.203935862991671e-05,5
0x99730fbbee30d411bb874824274b9ec78db11333,1,1,0,2.028048052564136e-05,6
0x9d831d9081ad6623fdb170fb8ac403aa7be05bd0,8,6,2,2.0310695550632438e-05,2
0xa3b24b7306adae61bb17cf25a5f312f4a85c056a,1,1,0,2.0280459809804593e-05,6
0xa86ebb05e8c21c1e5f75132f15a4a77c2f311967,1,1,0,2.028051524071662e-05,6
0xac1a107fe46917acfd94f6981800d2f3922b307b,1,1,0,2.0280479729510134e-05,6
0xac517b330bc950dd794283a39388b0528940fe80,2,2,0,2.03304566576637e-05,12
0xb55b88ab71d41a3e2dc292475367d0e2b8229a62,1,1,0,2.0280550557179327e-05,6
0xb8d6371654fd6bd12e2fa9a77ee3f6f4226fda50,1,1,0,2.0280459816924563e-05,6
